"indx","location","datetime","watertemp_C","airtemp_C","rain_in","raindays","windspeed_mph","flow_cfs","par_uE","lg_prb_R2_pct","lg_prb_R3_pct","lg_prb_R4_pct","li_conc_LF_cfu","lg_prb_LF_pct","cso_CP","cyano_NewtonYC","cyano_WatertownYC","cyano_CommRowing","cyano_CRCK","cyano_HarvardWeld","cyano_RiversideBC","cyano_CRYC","cyano_UnionBC","cyano_CommBoating","cyano_CRCKKendall"
"1","Charles","2018-05-01 00:00:00","-84.01","7.75","0.00","0.04","0.00","995.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"2","Charles","2018-05-01 01:00:00","-84.01","7.76","0.00","0.08","0.00","995.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"3","Charles","2018-05-01 02:00:00","-84.01","7.72","0.00","0.13","0.00","995.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"4","Charles","2018-05-01 03:00:00","-84.01","7.65","0.00","0.17","0.00","993.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"5","Charles","2018-05-01 04:00:00","-84.01","7.45","0.00","0.21","0.00","990.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"6","Charles","2018-05-01 05:00:00","-84.01","7.70","0.00","0.25","0.00","987.50","4.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"7","Charles","2018-05-01 06:00:00","-84.01","7.89","0.00","0.29","0.00","985.00","156.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"8","Charles","2018-05-01 07:00:00","-84.01","9.05","0.00","0.33","0.00","983.80","578.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"9","Charles","2018-05-01 08:00:00","-84.27","10.00","0.00","0.38","0.00","980.00","847.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"10","Charles","2018-05-01 09:00:00","-84.53","11.01","0.00","0.42","0.00","981.30","1280.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"11","Charles","2018-05-01 10:00:00","-85.05","12.27","0.00","0.46","0.00","980.00","952.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"12","Charles","2018-05-01 11:00:00","-85.05","13.31","0.00","0.50","0.00","986.30","944.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"13","Charles","2018-05-01 12:00:00","-85.58","14.28","0.00","0.54","0.00","974.30","934.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"14","Charles","2018-05-01 13:00:00","-85.58","14.84","0.00","0.58","0.00","965.30","1400.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"15","Charles","2018-05-01 14:00:00","-85.88","15.47","0.00","0.63","0.00","956.50","1348.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"16","Charles","2018-05-01 15:00:00","-85.88","16.41","0.00","0.67","0.00","947.80","1710.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"17","Charles","2018-05-01 16:00:00","-86.77","17.50","0.00","0.71","0.00","940.30","1027.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"18","Charles","2018-05-01 17:00:00","-87.06","18.44","0.00","0.75","0.00","937.80","670.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"19","Charles","2018-05-01 18:00:00","-87.36","18.82","0.00","0.79","0.00","934.00","328.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"20","Charles","2018-05-01 19:00:00","-87.06","18.56","0.00","0.83","0.00","930.30","33.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"21","Charles","2018-05-01 20:00:00","-87.36","18.91","0.00","0.88","0.00","929.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"22","Charles","2018-05-01 21:00:00","-87.36","17.53","0.00","0.92","0.00","926.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"23","Charles","2018-05-01 22:00:00","-86.17","16.55","0.00","0.96","0.00","922.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"24","Charles","2018-05-01 23:00:00","-86.77","16.53","0.00","1.00","0.00","918.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"25","Charles","2018-05-02 00:00:00","-86.77","16.71","0.00","1.04","0.00","918.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"26","Charles","2018-05-02 01:00:00","-87.06","16.95","0.00","1.08","0.00","918.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"27","Charles","2018-05-02 02:00:00","-87.06","17.00","0.00","1.13","0.00","915.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"28","Charles","2018-05-02 03:00:00","-86.77","17.03","0.00","1.17","0.00","914.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"29","Charles","2018-05-02 04:00:00","-86.77","16.67","0.00","1.21","0.00","913.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"30","Charles","2018-05-02 05:00:00","-87.36","16.79","0.00","1.25","0.00","911.80","7.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"31","Charles","2018-05-02 06:00:00","-87.06","17.33","0.00","1.29","0.00","909.30","170.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"32","Charles","2018-05-02 07:00:00","-87.36","18.68","0.00","1.33","0.00","908.00","556.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"33","Charles","2018-05-02 08:00:00","-87.36","20.52","0.00","1.38","0.00","908.00","938.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"34","Charles","2018-05-02 09:00:00","-87.36","22.72","0.00","1.42","0.00","908.00","1228.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"35","Charles","2018-05-02 10:00:00","-87.36","24.75","0.00","1.46","0.00","906.80","1625.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"36","Charles","2018-05-02 11:00:00","-87.36","25.37","0.00","1.50","0.00","902.00","1780.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"37","Charles","2018-05-02 12:00:00","-87.36","26.46","0.00","1.54","0.00","901.00","1864.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"38","Charles","2018-05-02 13:00:00","-87.36","27.00","0.00","1.58","0.00","902.00","1849.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"39","Charles","2018-05-02 14:00:00","-87.36","27.57","0.00","1.63","0.00","901.00","1680.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"40","Charles","2018-05-02 15:00:00","-87.36","28.90","0.00","1.67","0.00","898.80","1438.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"41","Charles","2018-05-02 16:00:00","-87.36","29.00","0.00","1.71","0.00","897.80","984.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"42","Charles","2018-05-02 17:00:00","-87.36","29.15","0.00","1.75","0.00","894.00","558.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"43","Charles","2018-05-02 18:00:00","-87.71","28.89","0.00","1.79","0.00","889.00","283.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"44","Charles","2018-05-02 19:00:00","-87.36","27.87","0.00","1.83","0.00","886.50","48.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"45","Charles","2018-05-02 20:00:00","-87.71","27.02","0.00","1.88","0.00","887.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"46","Charles","2018-05-02 21:00:00","-87.36","25.67","0.00","1.92","0.00","885.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"47","Charles","2018-05-02 22:00:00","-87.36","24.34","0.00","1.96","0.00","884.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"48","Charles","2018-05-02 23:00:00","-87.36","23.40","0.00","2.00","0.00","884.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"49","Charles","2018-05-03 00:00:00","-87.36","22.44","0.00","2.04","0.00","880.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"50","Charles","2018-05-03 01:00:00","-87.36","21.00","0.00","2.08","0.00","882.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"51","Charles","2018-05-03 02:00:00","-87.36","21.08","0.00","2.13","0.00","880.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"52","Charles","2018-05-03 03:00:00","-87.36","21.29","0.00","2.17","0.00","880.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"53","Charles","2018-05-03 04:00:00","-87.36","20.50","0.00","2.21","0.00","879.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"54","Charles","2018-05-03 05:00:00","-87.36","20.63","0.00","2.25","0.00","879.00","2.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"55","Charles","2018-05-03 06:00:00","-87.36","20.03","0.00","2.29","0.00","875.30","74.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"56","Charles","2018-05-03 07:00:00","-87.36","21.49","0.00","2.33","0.00","874.00","268.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"57","Charles","2018-05-03 08:00:00","-87.36","21.84","0.00","2.38","0.00","874.00","650.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"58","Charles","2018-05-03 09:00:00","-87.36","24.61","0.00","2.42","-148.15","872.80","1149.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"59","Charles","2018-05-03 10:00:00","-87.36","26.68","0.00","2.46","0.00","875.30","1563.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"60","Charles","2018-05-03 11:00:00","-87.36","29.55","0.00","2.50","0.00","876.50","1575.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"61","Charles","2018-05-03 12:00:00","-87.36","30.10","0.00","2.54","0.00","880.30","1557.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"62","Charles","2018-05-03 13:00:00","-87.36","30.59","0.00","2.58","0.00","881.50","1043.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"63","Charles","2018-05-03 14:00:00","-87.36","29.35","0.00","2.63","0.00","880.30","763.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"64","Charles","2018-05-03 15:00:00","-87.36","26.72","0.00","2.67","0.00","870.30","283.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"65","Charles","2018-05-03 16:00:00","-87.36","24.41","0.00","2.71","0.00","877.80","351.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"66","Charles","2018-05-03 17:00:00","-87.36","21.72","0.00","2.75","0.00","880.30","343.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"67","Charles","2018-05-03 18:00:00","-87.36","22.53","0.00","2.79","0.00","877.80","221.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"68","Charles","2018-05-03 19:00:00","-87.36","22.92","0.00","2.83","0.00","880.30","17.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"69","Charles","2018-05-03 20:00:00","-87.36","21.92","0.00","2.88","0.00","880.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"70","Charles","2018-05-03 21:00:00","-87.36","22.83","0.00","2.92","0.00","879.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"71","Charles","2018-05-03 22:00:00","-87.36","22.56","0.00","2.96","0.00","879.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"72","Charles","2018-05-03 23:00:00","-87.36","22.11","0.00","3.00","0.00","879.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"73","Charles","2018-05-04 00:00:00","-87.36","21.86","0.00","3.04","0.00","877.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"74","Charles","2018-05-04 01:00:00","-87.36","21.71","0.00","3.08","0.00","875.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"75","Charles","2018-05-04 02:00:00","-87.36","21.36","0.00","3.13","0.00","872.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"76","Charles","2018-05-04 03:00:00","-87.36","21.19","0.00","3.17","0.00","870.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"77","Charles","2018-05-04 04:00:00","-87.36","21.05","0.00","3.21","0.00","869.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"78","Charles","2018-05-04 05:00:00","-87.36","20.83","0.00","3.25","0.00","867.80","2.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"79","Charles","2018-05-04 06:00:00","-87.36","20.40","0.00","3.29","0.00","865.30","41.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"80","Charles","2018-05-04 07:00:00","-87.36","20.44","0.00","3.33","0.00","864.00","133.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"81","Charles","2018-05-04 08:00:00","-87.36","20.51","0.00","3.38","0.00","864.00","248.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"82","Charles","2018-05-04 09:00:00","-87.36","21.49","0.00","3.42","0.00","862.80","480.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"83","Charles","2018-05-04 10:00:00","-87.36","20.08","0.00","3.46","0.00","864.00","669.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"84","Charles","2018-05-04 11:00:00","-87.36","19.93","0.00","3.50","0.00","859.00","898.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"85","Charles","2018-05-04 12:00:00","-87.36","20.60","0.00","3.54","0.00","859.00","728.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"86","Charles","2018-05-04 13:00:00","-87.36","22.95","0.00","3.58","0.00","859.00","1429.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"87","Charles","2018-05-04 14:00:00","-87.36","26.17","0.00","3.63","0.00","859.00","1768.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"88","Charles","2018-05-04 15:00:00","-87.36","26.84","0.00","3.67","0.00","855.30","819.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"89","Charles","2018-05-04 16:00:00","-87.36","27.56","0.00","3.71","0.00","855.30","541.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"90","Charles","2018-05-04 17:00:00","-87.36","26.84","0.00","3.75","0.00","855.30","400.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"91","Charles","2018-05-04 18:00:00","-87.36","26.28","0.01","3.79","0.00","854.00","210.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"92","Charles","2018-05-04 19:00:00","-87.36","25.88","0.00","3.83","0.00","850.30","31.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"93","Charles","2018-05-04 20:00:00","-87.36","25.05","0.00","3.88","0.00","847.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"94","Charles","2018-05-04 21:00:00","-87.36","24.28","0.00","3.92","0.00","848.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"95","Charles","2018-05-04 22:00:00","-87.36","24.18","0.00","3.96","0.00","843.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"96","Charles","2018-05-04 23:00:00","-87.36","23.91","0.00","4.00","0.00","841.70","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"97","Charles","2018-05-05 00:00:00","-87.36","23.87","0.00","4.04","0.00","840.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"98","Charles","2018-05-05 01:00:00","-87.36","23.39","0.00","4.08","0.00","842.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"99","Charles","2018-05-05 02:00:00","-87.36","21.71","0.00","4.13","0.00","840.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"100","Charles","2018-05-05 03:00:00","-87.36","20.65","0.00","4.17","0.00","833.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"101","Charles","2018-05-05 04:00:00","-87.36","18.20","0.00","4.21","0.00","830.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"102","Charles","2018-05-05 05:00:00","-86.47","16.01","0.00","4.25","0.00","825.30","7.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"103","Charles","2018-05-05 06:00:00","-85.58","15.08","0.00","4.29","0.00","820.80","178.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"104","Charles","2018-05-05 07:00:00","-85.58","14.99","0.00","4.33","0.00","818.50","643.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"105","Charles","2018-05-05 08:00:00","-85.88","15.38","0.00","4.38","0.00","818.50","933.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"106","Charles","2018-05-05 09:00:00","-85.58","15.60","0.00","4.42","0.00","816.00","1235.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"107","Charles","2018-05-05 10:00:00","-85.58","16.38","0.00","4.46","0.00","816.00","1643.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"108","Charles","2018-05-05 11:00:00","-85.88","17.23","0.00","4.50","0.00","812.30","1832.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"109","Charles","2018-05-05 12:00:00","-85.88","18.57","0.00","4.54","0.00","811.00","1819.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"110","Charles","2018-05-05 13:00:00","-87.36","19.74","0.00","4.58","0.00","809.80","1663.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"111","Charles","2018-05-05 14:00:00","-87.36","20.65","0.00","4.63","0.00","805.00","1502.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"112","Charles","2018-05-05 15:00:00","-87.36","21.59","0.00","4.67","0.00","805.00","1181.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"113","Charles","2018-05-05 16:00:00","-87.36","22.13","0.00","4.71","0.00","804.00","961.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"114","Charles","2018-05-05 17:00:00","-87.36","22.30","0.00","4.75","0.00","800.80","529.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"115","Charles","2018-05-05 18:00:00","-87.36","22.13","0.00","4.79","0.00","799.50","254.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"116","Charles","2018-05-05 19:00:00","-87.36","21.53","0.00","4.83","0.00","797.00","41.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"117","Charles","2018-05-05 20:00:00","-87.36","21.47","0.00","4.88","0.00","797.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"118","Charles","2018-05-05 21:00:00","-87.36","20.67","0.00","4.92","0.00","795.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"119","Charles","2018-05-05 22:00:00","-87.36","19.61","0.00","4.96","0.00","795.80","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"120","Charles","2018-05-05 23:00:00","-87.36","19.15","0.00","5.00","0.00","792.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"121","Charles","2018-05-06 00:00:00","-87.36","18.66","0.00","5.04","0.00","792.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"122","Charles","2018-05-06 01:00:00","-87.36","18.25","0.00","5.08","0.00","792.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"123","Charles","2018-05-06 02:00:00","-87.36","18.18","0.00","5.13","0.00","790.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"124","Charles","2018-05-06 03:00:00","-87.36","17.98","0.00","5.17","0.00","788.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"125","Charles","2018-05-06 04:00:00","-87.36","18.24","0.00","5.21","0.00","788.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"126","Charles","2018-05-06 05:00:00","-87.36","18.12","0.00","5.25","0.00","784.30","2.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"127","Charles","2018-05-06 06:00:00","-87.36","18.16","0.00","5.29","0.00","783.00","49.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"128","Charles","2018-05-06 07:00:00","-87.36","18.27","0.00","5.33","0.00","783.00","160.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"129","Charles","2018-05-06 08:00:00","-87.36","18.00","0.00","5.38","0.00","779.30","194.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"130","Charles","2018-05-06 09:00:00","-87.36","17.92","0.00","5.42","0.00","778.00","310.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"131","Charles","2018-05-06 10:00:00","-87.36","18.82","0.00","5.46","-296.29","776.00","376.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"132","Charles","2018-05-06 11:00:00","-87.36","19.08","0.00","5.50","0.00","774.00","482.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"133","Charles","2018-05-06 12:00:00","-87.36","19.05","0.00","5.54","0.00","772.80","374.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"134","Charles","2018-05-06 13:00:00","-87.36","17.83","0.00","5.58","0.00","767.00","551.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"135","Charles","2018-05-06 14:00:00","-87.36","17.75","0.00","5.63","0.00","760.00","403.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"136","Charles","2018-05-06 15:00:00","-87.36","17.18","0.00","5.67","0.00","757.50","313.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"137","Charles","2018-05-06 16:00:00","-87.36","15.66","0.00","5.71","0.00","749.80","178.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"138","Charles","2018-05-06 17:00:00","-86.77","15.94","0.00","5.75","0.00","748.50","118.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"139","Charles","2018-05-06 18:00:00","-85.58","13.71","0.00","5.79","0.00","746.00","80.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"140","Charles","2018-05-06 19:00:00","-85.58","13.46","0.00","5.83","0.00","746.00","20.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"141","Charles","2018-05-06 20:00:00","-85.32","12.57","0.00","5.88","0.00","744.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"142","Charles","2018-05-06 21:00:00","-84.79","11.57","0.00","5.92","0.00","744.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"143","Charles","2018-05-06 22:00:00","-85.32","11.60","0.01","5.96","0.00","754.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"144","Charles","2018-05-06 23:00:00","-85.58","11.88","0.00","6.00","0.00","766.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"145","Charles","2018-05-07 00:00:00","-85.58","12.21","0.00","6.04","0.00","762.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"146","Charles","2018-05-07 01:00:00","-85.32","12.38","0.00","6.08","0.00","762.50","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"147","Charles","2018-05-07 02:00:00","-85.32","12.59","0.00","6.13","0.00","760.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"148","Charles","2018-05-07 03:00:00","-85.58","13.07","0.00","6.17","0.00","760.00","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
"149","Charles","2018-05-07 04:00:00","-85.58","13.21","0.00","6.21","0.00","755.30","1.00","0.000","0.000","0.000","0.0","0.000","0","0","0","0","0","0","0","0","0","0","0"
